feature_name,agop_mean_importance,agop_std_importance,agop_max_importance,num_leaves_detected,pca_importance,mi_importance,permutation_importance,rank_agop,rank_pca,rank_mi,rank_permutation,mean_rank,rank_spread
exterior2nd_VinylSd,1.0381307607284923e-05,,1.0381307607284923e-05,1,0.02526966470843102,0.08889999395086234,-0.5161113793830736,71.0,38.0,35.0,265.0,102.25,230.0
neighborhood_Timber,1.001542176128139e-05,,1.001542176128139e-05,1,0.0020525669086596055,0.009000238644913505,0.07306681749687413,72.0,166.0,157.0,53.0,112.0,113.0
wooddecksf,9.39195061567446e-06,,9.39195061567446e-06,1,0.034243627153910924,0.10449824287773701,1.1467798081110232,73.0,26.0,32.0,42.0,43.25,47.0
neighborhood_BrkSide,8.018567968229243e-06,,8.018567968229243e-06,1,0.003493669630577705,0.020326791660282062,0.08976479148768704,74.0,129.0,103.0,52.0,89.5,77.0
fireplacequ_Fa,7.291552279615765e-06,,7.291552279615765e-06,1,0.001411911304332368,0.009782320446619863,0.016404186823638155,75.0,187.0,153.0,70.0,121.25,117.0
exterior1st_Plywood,6.302629989052579e-06,,6.302629989052579e-06,1,0.0032781521264782306,0.0,0.022256738796568244,76.0,136.0,252.0,65.0,132.25,187.0
neighborhood_SawyerW,5.309616211212882e-06,,5.309616211212882e-06,1,0.0015778876626910258,0.005950709696250334,0.027111156829050742,77.0,182.0,168.0,60.0,121.75,122.0
foundation_CBlock,4.569707118149685e-06,,4.569707118149685e-06,1,0.021665938896980305,0.07451307960504527,-0.017959677526232554,78.0,46.0,42.0,250.0,104.0,208.0
exterior1st_Wd Sdng,4.374213176200492e-06,,4.374213176200492e-06,1,0.012095563503097193,0.04547396549077454,0.06508075422752882,79.0,62.0,60.0,55.0,64.0,24.0
neighborhood_CollgCr,3.237348797765547e-06,,3.237348797765547e-06,1,0.008944789735036473,0.04125581894014485,-0.08779712634786847,80.0,83.0,63.0,260.0,121.5,197.0
centralair_N,3.0313906745577968e-06,,3.0313906745577968e-06,1,0.00965866953678185,0.07002772969699422,0.016562630747648653,81.0,76.0,44.0,69.0,67.5,37.0
centralair_Y,3.031348022438911e-06,,3.031348022438911e-06,1,0.009658669536781852,0.06820996900792564,0.017727116485184526,82.0,75.0,45.0,68.0,67.5,37.0
exterior1st_MetalSd,2.3780174722338033e-06,,2.3780174722338033e-06,1,0.006666947956370727,0.010989410010184608,0.03735352758230874,83.0,95.0,143.0,57.0,94.5,86.0
exterior1st_VinylSd,2.3147863876402355e-06,,2.3147863876402355e-06,1,0.025506012410213223,0.08630690498347082,-0.06794056298967917,84.0,36.0,36.0,259.0,103.75,223.0
